Model,CtxK,VramBudget,TTFTSpeedup,TPSSpeedup,E2ELSpeedup
minitron-4b,1K,2G,3.23,1.16,1.22
minitron-4b,1K,4G,2.74,1.22,1.27
minitron-4b,1K,6G,2.12,1.40,1.44
minitron-4b,1K,8G,1.29,1.47,1.45
minitron-4b,1K,12G,1.00,1.00,1.00
minitron-4b,1K,16G,1.00,1.00,1.00
minitron-4b,1K,24G,1.00,1.00,1.00
minitron-4b,1K,32G,1.00,1.00,1.00
minitron-4b,4K,2G,3.47,1.53,1.63
minitron-4b,4K,4G,2.76,1.75,1.83
minitron-4b,4K,6G,2.19,1.93,1.96
minitron-4b,4K,8G,1.58,2.47,2.29
minitron-4b,4K,12G,1.00,1.00,1.00
minitron-4b,4K,16G,1.00,1.00,1.00
minitron-4b,4K,24G,1.00,1.00,1.00
minitron-4b,4K,32G,1.00,1.00,1.00
minitron-4b,16K,2G,2.52,1.59,1.71
minitron-4b,16K,4G,2.28,2.94,2.78
minitron-4b,16K,6G,1.93,3.23,2.83
minitron-4b,16K,8G,1.67,3.44,2.74
minitron-4b,16K,12G,1.00,1.00,1.00
minitron-4b,16K,16G,1.00,1.00,1.00
minitron-4b,16K,24G,1.00,1.00,1.00
minitron-4b,16K,32G,1.00,1.00,1.00
minitron-4b,64K,2G,1.44,1.25,1.30
minitron-4b,64K,4G,1.34,1.36,1.35
minitron-4b,64K,6G,1.33,1.55,1.47
minitron-4b,64K,8G,1.19,1.99,1.63
minitron-4b,64K,12G,1.15,5.87,2.24
minitron-4b,64K,16G,1.02,4.93,1.52
minitron-4b,64K,24G,1.00,1.00,1.00
minitron-4b,64K,32G,1.00,1.00,1.00
minitron-8b,1K,2G,3.50,1.09,1.16
minitron-8b,1K,4G,3.44,1.11,1.17
minitron-8b,1K,6G,3.20,1.11,1.17
minitron-8b,1K,8G,2.88,1.14,1.20
minitron-8b,1K,12G,2.04,1.25,1.29
minitron-8b,1K,16G,1.00,1.00,1.00
minitron-8b,1K,24G,1.00,1.00,1.00
minitron-8b,1K,32G,1.00,1.00,1.00
minitron-8b,4K,2G,6.66,1.20,1.46
minitron-8b,4K,4G,3.44,1.44,1.56
minitron-8b,4K,6G,3.01,1.41,1.52
minitron-8b,4K,8G,2.74,1.46,1.56
minitron-8b,4K,12G,1.99,1.68,1.72
minitron-8b,4K,16G,1.13,1.86,1.65
minitron-8b,4K,24G,1.00,1.00,1.00
minitron-8b,4K,32G,1.00,1.00,1.00
minitron-8b,16K,2G,5.24,1.28,1.75
minitron-8b,16K,4G,2.74,1.70,1.86
minitron-8b,16K,6G,2.56,2.54,2.55
minitron-8b,16K,8G,2.38,2.52,2.49
minitron-8b,16K,12G,1.98,2.64,2.42
minitron-8b,16K,16G,1.38,2.61,2.03
minitron-8b,16K,24G,1.00,1.00,1.00
minitron-8b,16K,32G,1.00,1.00,1.00
minitron-8b,64K,2G,2.31,1.17,1.56
minitron-8b,64K,4G,1.59,1.35,1.42
minitron-8b,64K,6G,1.57,1.41,1.46
minitron-8b,64K,8G,1.50,1.62,1.58
minitron-8b,64K,12G,1.40,2.84,2.06
minitron-8b,64K,16G,1.30,4.96,2.33
minitron-8b,64K,24G,1.04,3.87,1.44
minitron-8b,64K,32G,1.00,1.00,1.00
qwen3-30b,1K,2G,2.84,1.33,1.53
qwen3-30b,1K,4G,2.68,1.28,1.46
qwen3-30b,1K,6G,2.59,1.33,1.50
qwen3-30b,1K,8G,2.46,1.28,1.44
qwen3-30b,1K,12G,1.93,1.21,1.30
